FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,ADAMS-KENESAW SECONDARY SCHOOL,ADAMS,10003001,KENESAW SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,122,28,0.2295,,
2014-2015,ADAMS-KENESAW ELEMENTARY SCHOOL,ADAMS,10003002,KENESAW ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,146,36,0.2466,,
2014-2015,ADAMS-HASTINGS SENIOR HIGH SCHOOL,ADAMS,10018001,HASTINGS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1041,571,0.5485,,
2014-2015,ADAMS-HASTINGS MIDDLE SCHOOL,ADAMS,10018002,HASTINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,805,484,0.6012,,
2014-2015,ADAMS-ALCOTT ELEMENTARY SCHOOL,ADAMS,10018003,ALCOTT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,289,234,0.8097,,
2014-2015,ADAMS-HAWTHORNE ELEMENTARY SCHOOL,ADAMS,10018004,HAWTHORNE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,316,146,0.462,,
2014-2015,ADAMS-LINCOLN ELEMENTARY SCHOOL,ADAMS,10018005,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,305,270,0.8852,,
2014-2015,ADAMS-LONGFELLOW ELEMENTARY SCHOOL,ADAMS,10018006,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,392,214,0.5459,,
2014-2015,ADAMS-MORTON ELEMENTARY SCHOOL,ADAMS,10018007,MORTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,352,229,0.6506,,
2014-2015,ADAMS-RAYMOND A WATSON ELEM SCHOOL,ADAMS,10018008,RAYMOND A WATSON ELEM SCHOOL,ELEMENTARY                    ,PK-05,183,70,0.3825,,
2014-2015,ADAMS-ADAMS CENTRAL JR-SR HIGH SCH,ADAMS,10090001,ADAMS CENTRAL JR-SR HIGH SCH,SECONDARY                     ,2016-07-12,459,86,0.1874,,
2014-2015,ADAMS-JUNIATA ELEMENTARY SCHOOL,ADAMS,10090002,JUNIATA ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,175,41,0.2343,,
2014-2015,ADAMS-EAST ELEMENTARY SCHOOL,ADAMS,10090003,EAST ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,128,14,0.1094,,
2014-2015,ADAMS-WALLACE ELEMENTARY SCHOOL,ADAMS,10090006,WALLACE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,128,20,0.1563,,
2014-2015,ADAMS-SILVER LAKE HIGH SCHOOL,ADAMS,10123001,SILVER LAKE HIGH SCHOOL,SECONDARY                     ,2016-07-12,86,41,0.4767,,
2014-2015,ADAMS-SILVER LAKE ELEM SCH-BLADEN,ADAMS,10123002,SILVER LAKE ELEM SCH-BLADEN,ELEMENTARY                    ,PK-06,134,38,0.2836,,
2014-2015,ADAMS-CHRIST LUTHERAN ELEMENTARY SCH,ADAMS,10701001,CHRIST LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,K -08,47,,,MASKED DATA,
2014-2015,ADAMS-ST CECILIA HIGH SCHOOL,ADAMS,10702001,ST CECILIA HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,135,30,0.2222,,
2014-2015,ADAMS-ST CECILIA MIDDLE SCHOOL,ADAMS,10702002,ST CECILIA MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,104,25,0.2404,,
2014-2015,ADAMS-ST MICHAEL ELEMENTARY SCHOOL,ADAMS,10702003,ST MICHAEL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,224,49,0.2188,,
2014-2015,ADAMS-ZION LUTHERAN ELEMENTARY SCH,ADAMS,10705001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,67,27,0.403,,
2014-2015,ANTELOPE-NELIGH-OAKDALE JR/SR HIGH SCH,ANTELOPE,20009001,NELIGH-OAKDALE JR/SR HIGH SCH,SECONDARY                     ,2016-07-12,168,79,0.4702,,
2014-2015,ANTELOPE-ELEM SCHOOL AT NELIGH-OAKDALE,ANTELOPE,20009002,ELEM SCHOOL AT NELIGH-OAKDALE,ELEMENTARY                    ,PK-06,229,94,0.4105,,
2014-2015,ANTELOPE-ELGIN HIGH SCHOOL,ANTELOPE,20018001,ELGIN HIGH SCHOOL,SECONDARY                     ,2016-07-12,81,42,0.5185,,
2014-2015,ANTELOPE-ELGIN ELEMENTARY SCHOOL,ANTELOPE,20018002,ELGIN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,119,70,0.5882,,
2014-2015,ANTELOPE-ST BONIFACE ELEMENTARY SCHOOL,ANTELOPE,20701001,ST BONIFACE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,51,16,0.3137,,
2014-2015,ANTELOPE-POPE JOHN XXIII HIGH SCHOOL,ANTELOPE,20702001,POPE JOHN XXIII HIGH SCHOOL,SECONDARY                     ,2016-07-12,71,18,0.2535,,
2014-2015,ANTELOPE-CLEARWATER ELEMENTARY SCHOOL,ANTELOPE,22001002,CLEARWATER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,81,38,0.4691,,
2014-2015,ANTELOPE-ORCHARD ELEMENTARY SCHOOL,ANTELOPE,22001004,ORCHARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,52,31,0.5962,,
2014-2015,ANTELOPE-VERDIGRE ELEMENTARY SCHOOL,ANTELOPE,22001006,VERDIGRE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,72,44,0.6111,,
2014-2015,ANTELOPE-CLEARWATER/ORCHARD MIDDLE SCHOOL,ANTELOPE,22001007,CLEARWATER/ORCHARD MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,80,42,0.525,,
2014-2015,ANTELOPE-CLEARWATER/ORCHARD HIGH SCHOOL,ANTELOPE,22001008,CLEARWATER/ORCHARD HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,98,49,0.5,,
2014-2015,ANTELOPE-VERDIGRE HIGH SCHOOL,ANTELOPE,22001009,VERDIGRE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,55,20,0.3636,,
2014-2015,ANTELOPE-VERDIGRE MIDDLE SCHOOL,ANTELOPE,22001010,VERDIGRE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,27,13,0.4815,,
2014-2015,ARTHUR-ARTHUR COUNTY HIGH SCHOOL,ARTHUR,30500001,ARTHUR COUNTY HIGH SCHOOL,SECONDARY                     ,2016-07-12,43,,,MASKED DATA,
2014-2015,ARTHUR-ARTHUR ELEM SCH - LOWER,ARTHUR,30500002,ARTHUR ELEM SCH - LOWER,ELEMENTARY                    ,K -06,64,,,MASKED DATA,
2014-2015,BANNER-BANNER COUNTY HIGH SCHOOL,BANNER,40001001,BANNER COUNTY HIGH SCHOOL,SECONDARY                     ,2016-07-12,76,40,0.5263,,
2014-2015,BANNER-BANNER COUNTY ELEMENTARY SCHOOL,BANNER,40001002,BANNER COUNTY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,86,51,0.593,,
2014-2015,BLAINE-HIGH SCHOOL AT DUNNING,BLAINE,50071001,HIGH SCHOOL AT DUNNING,SECONDARY                     ,2016-07-12,56,23,0.4107,,
2014-2015,BLAINE-ELEMENTARY SCHOOL AT HALSEY,BLAINE,50071002,ELEMENTARY SCHOOL AT HALSEY,ELEMENTARY                    ,K -06,59,28,0.4746,,
2014-2015,BOONE-BOONE CENTRAL HIGH SCHOOL,BOONE,60001001,BOONE CENTRAL HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,203,63,0.3103,,
2014-2015,BOONE-BOONE CENTRAL ELEM-ALBION,BOONE,60001002,BOONE CENTRAL ELEM-ALBION,ELEMENTARY                    ,PK-05,212,77,0.3632,,
2014-2015,BOONE-BOONE CENTRAL MIDDLE SCHOOL,BOONE,60001004,BOONE CENTRAL MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,117,38,0.3248,,
2014-2015,BOONE-ABC PRESCHOOL,BOONE,60001006,ABC PRESCHOOL,PREK ONLY                     ,PK-PK,59,,,MASKED DATA,
2014-2015,BOONE-ST EDWARD HIGH SCHOOL,BOONE,60017001,ST EDWARD HIGH SCHOOL,SECONDARY                     ,2016-07-12,73,25,0.3425,,
2014-2015,BOONE-ST EDWARD ELEMENTARY SCHOOL,BOONE,60017002,ST EDWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,99,52,0.5253,,
2014-2015,BOONE-RIVERSIDE HIGH SCHOOL,BOONE,60075001,RIVERSIDE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,67,27,0.403,,
2014-2015,BOONE-RIVERSIDE MIDDLE SCHOOL,BOONE,60075002,RIVERSIDE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,32,18,0.5625,,
2014-2015,BOONE-RIVERSIDE ELEMENTARY - CEDAR RAPIDS,BOONE,60075003,RIVERSIDE ELEMENTARY - CEDAR RAPIDS,ELEMENTARY                    ,PK-05,72,36,0.5,,
2014-2015,BOONE-RIVERSIDE ELEMENTARY - SPALDING,BOONE,60075004,RIVERSIDE ELEMENTARY - SPALDING,ELEMENTARY                    ,PK-05,64,27,0.4219,,
2014-2015,BOONE-ST MICHAEL'S ELEMENTARY SCHOOL,BOONE,60701001,ST MICHAEL'S ELEMENTARY SCHOOL,ELEMENTARY                    ,K -08,114,18,0.1579,,
2014-2015,BOX BUTTE-ALLIANCE HIGH SCHOOL,BOX BUTTE,70006001,ALLIANCE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,508,208,0.4094,,
2014-2015,BOX BUTTE-ALLIANCE MIDDLE SCHOOL,BOX BUTTE,70006002,ALLIANCE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,458,247,0.5393,,
2014-2015,BOX BUTTE-EMERSON ELEMENTARY SCHOOL,BOX BUTTE,70006004,EMERSON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -02,272,149,0.5478,,
2014-2015,BOX BUTTE-GRANDVIEW ELEMENTARY SCHOOL,BOX BUTTE,70006005,GRANDVIEW ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-02-04,262,155,0.5916,,
2014-2015,BOX BUTTE-ALLIANCE EARLY CHILD ED PROG,BOX BUTTE,70006006,ALLIANCE EARLY CHILD ED PROG,PREK ONLY                     ,PK-PK,63,39,0.619,,
2014-2015,BOX BUTTE-HEMINGFORD HIGH SCHOOL,BOX BUTTE,70010001,HEMINGFORD HIGH SCHOOL,SECONDARY                     ,2016-07-12,178,43,0.2416,,
2014-2015,BOX BUTTE-HEMINGFORD ELEMENTARY SCHOOL,BOX BUTTE,70010002,HEMINGFORD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,230,71,0.3087,,
2014-2015,BOX BUTTE-IMMANUAL EVANGELICAL LUTHERAN SCHOOL,BOX BUTTE,70705001,IMMANUAL EVANGELICAL LUTHERAN SCHOOL,ELEMENTARY                    ,K -08,40,,,MASKED DATA,
2014-2015,BOYD-LYNCH SECONDARY SCHOOL,BOYD,80036001,LYNCH SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,34,18,0.5294,,
2014-2015,BOYD-LYNCH ELEMENTARY SCHOOL,BOYD,80036002,LYNCH ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,35,19,0.5429,,
2014-2015,BOYD-WEST BOYD HIGH SCHOOL,BOYD,80050001,WEST BOYD HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,69,25,0.3623,,
2014-2015,BOYD-WEST BOYD MIDDLE SCHOOL,BOYD,80050002,WEST BOYD MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,81,49,0.6049,,
2014-2015,BOYD-WEST BOYD ELEMENTARY SCHOOL,BOYD,80050003,WEST BOYD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,130,75,0.5769,,
2014-2015,BROWN-AINSWORTH HIGH SCHOOL,BROWN,90010001,AINSWORTH HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,149,61,0.4094,,
2014-2015,BROWN-AINSWORTH ELEMENTARY SCHOOL,BROWN,90010002,AINSWORTH ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,144,68,0.4722,,
2014-2015,BROWN-AINSWORTH MIDDLE SCHOOL,BROWN,90010003,AINSWORTH MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,151,78,0.5166,,
2014-2015,BROWN-AINSWORTH LITTLE PAWS PRESCHOOL,BROWN,90010011,AINSWORTH LITTLE PAWS PRESCHOOL,PREK ONLY                     ,PK-PK,33,,,MASKED DATA,
2014-2015,BUFFALO-GIBBON HIGH SCHOOL,BUFFALO,100002001,GIBBON HIGH SCHOOL,SECONDARY                     ,2016-07-12,233,114,0.4893,,
2014-2015,BUFFALO-GIBBON ELEMENTARY SCHOOL,BUFFALO,100002002,GIBBON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,366,217,0.5929,,
2014-2015,BUFFALO-KEARNEY SR HIGH SCHOOL,BUFFALO,100007001,KEARNEY SR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1397,518,0.3708,,
2014-2015,BUFFALO-HORIZON MIDDLE SCHOOL,BUFFALO,100007002,HORIZON MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,548,205,0.3741,,
2014-2015,BUFFALO-BRYANT ELEMENTARY SCHOOL,BUFFALO,100007003,BRYANT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,259,186,0.7181,,
2014-2015,BUFFALO-EMERSON ELEMENTARY SCHOOL,BUFFALO,100007004,EMERSON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,239,163,0.682,,
2014-2015,BUFFALO-KENWOOD ELEMENTARY SCHOOL,BUFFALO,100007005,KENWOOD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,391,147,0.376,,
2014-2015,BUFFALO-NORTHEAST ELEMENTARY SCHOOL,BUFFALO,100007006,NORTHEAST ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,388,191,0.4923,,
2014-2015,BUFFALO-PARK ELEMENTARY SCHOOL,BUFFALO,100007007,PARK ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,265,72,0.2717,,
2014-2015,BUFFALO-CENTRAL ELEMENTARY SCHOOL,BUFFALO,100007008,CENTRAL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,262,165,0.6298,,
2014-2015,BUFFALO-WINDY HILLS ELEMENTARY SCHOOL,BUFFALO,100007010,WINDY HILLS ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,270,45,0.1667,,
2014-2015,BUFFALO-GLENWOOD ELEMENTARY SCHOOL,BUFFALO,100007013,GLENWOOD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,115,14,0.1217,,
2014-2015,BUFFALO-MEADOWLARK ELEMENTARY SCHOOL,BUFFALO,100007014,MEADOWLARK ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,411,57,0.1387,,
2014-2015,BUFFALO-SUNRISE MIDDLE SCHOOL,BUFFALO,100007015,SUNRISE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,531,230,0.4331,,
2014-2015,BUFFALO-KEARNEY EDUCATION CENTER,BUFFALO,100007027,KEARNEY EDUCATION CENTER,PREK ONLY                     ,PK-PK,100,67,0.67,,
2014-2015,BUFFALO-BUFFALO HILLS ELEMENTARY,BUFFALO,100007028,BUFFALO HILLS ELEMENTARY,ELEMENTARY                    ,K -05,198,39,0.197,,
2014-2015,BUFFALO-ELM CREEK HIGH SCHOOL,BUFFALO,100009001,ELM CREEK HIGH SCHOOL,SECONDARY                     ,2016-07-12,134,38,0.2836,,
2014-2015,BUFFALO-ELM CREEK ELEMENTARY SCHOOL,BUFFALO,100009002,ELM CREEK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,221,87,0.3937,,
2014-2015,BUFFALO-SHELTON HIGH SCHOOL,BUFFALO,100019001,SHELTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,129,44,0.3411,,
2014-2015,BUFFALO-SHELTON ELEMENTARY SCHOOL,BUFFALO,100019002,SHELTON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,157,80,0.5096,,
2014-2015,BUFFALO-RAVENNA SENIOR HIGH,BUFFALO,100069001,RAVENNA SENIOR HIGH,SECONDARY                     ,2016-07-12,206,69,0.335,,
2014-2015,BUFFALO-RAVENNA ELEMENTARY SCHOOL,BUFFALO,100069002,RAVENNA ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,254,119,0.4685,,
2014-2015,BUFFALO-PLEASANTON HIGH SCHOOL,BUFFALO,100105001,PLEASANTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,109,24,0.2202,,
2014-2015,BUFFALO-PLEASANTON ELEMENTARY SCHOOL,BUFFALO,100105002,PLEASANTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,155,41,0.2645,,
2014-2015,BUFFALO-AMHERST HIGH SCHOOL,BUFFALO,100119001,AMHERST HIGH SCHOOL,SECONDARY                     ,2016-07-12,156,38,0.2436,,
2014-2015,BUFFALO-AMHERST ELEMENTARY SCHOOL,BUFFALO,100119002,AMHERST ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,202,52,0.2574,,
2014-2015,BUFFALO-KEARNEY WEST HIGH SCHOOL,BUFFALO,100600001,KEARNEY WEST HIGH SCHOOL,SECONDARY                     ,2016-07-12,98,,,MASKED DATA,
2014-2015,BUFFALO-KEARNEY CATHOLIC HIGH SCHOOL,BUFFALO,100701001,KEARNEY CATHOLIC HIGH SCHOOL,SECONDARY                     ,2016-07-12,304,20,0.0658,,
2014-2015,BUFFALO-KEARNEY CATHOLIC MIDDLE SCHOOL,BUFFALO,100701002,KEARNEY CATHOLIC MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-06,54,,,MASKED DATA,
2014-2015,BUFFALO-ZION LUTHERAN ELEMENTARY SCH,BUFFALO,100702001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,155,30,0.1935,,
2014-2015,BUFFALO-FAITH CHRISTIAN ELEM/KEARNEY,BUFFALO,100709002,FAITH CHRISTIAN ELEM/KEARNEY,ELEMENTARY                    ,K -08,102,,,MASKED DATA,
2014-2015,BURT-HIGH SCHOOL AT TEKAMAH,BURT,110001001,HIGH SCHOOL AT TEKAMAH,SECONDARY                     ,2016-07-12,253,86,0.3399,,
2014-2015,BURT-ELEMENTARY SCHOOL AT HERMAN,BURT,110001002,ELEMENTARY SCHOOL AT HERMAN,ELEMENTARY                    ,PK-06,80,10,0.125,,
2014-2015,BURT-ELEMENTARY SCHOOL AT TEKAMAH,BURT,110001003,ELEMENTARY SCHOOL AT TEKAMAH,ELEMENTARY                    ,K -06,239,93,0.3891,,
2014-2015,BURT-OAKLAND CRAIG SENIOR HIGH,BURT,110014001,OAKLAND CRAIG SENIOR HIGH,HIGH SCHOOL                   ,2016-09-12,121,39,0.3223,,
2014-2015,BURT-OAKLAND CRAIG JUNIOR HIGH,BURT,110014002,OAKLAND CRAIG JUNIOR HIGH,MIDDLE SCHOOL                 ,2016-07-08,65,20,0.3077,,
2014-2015,BURT-OAKLAND CRAIG ELEMENTARY,BURT,110014003,OAKLAND CRAIG ELEMENTARY,ELEMENTARY                    ,PK-06,254,85,0.3346,,
2014-2015,BURT-NORTHEAST SECONDARY SCHOOL,BURT,110020001,NORTHEAST SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,89,40,0.4494,,
2014-2015,BURT-NORTHEAST ELEMENTARY AT LYONS,BURT,110020002,NORTHEAST ELEMENTARY AT LYONS,ELEMENTARY                    ,PK-06,164,82,0.5,,
2014-2015,BUTLER-DAVID CITY SECONDARY SCHOOL,BUTLER,120056001,DAVID CITY SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,304,148,0.4868,,
2014-2015,BUTLER-DAVID CITY ELEMENTARY SCHOOL,BUTLER,120056002,DAVID CITY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,262,146,0.5573,,
2014-2015,BUTLER-BELLWOOD ATTENDANCE CENTER,BUTLER,120056003,BELLWOOD ATTENDANCE CENTER,ELEMENTARY                    ,PK-06,96,49,0.5104,,
2014-2015,BUTLER-HIGH SCHOOL AT BRAINARD,BUTLER,120502001,HIGH SCHOOL AT BRAINARD,SECONDARY                     ,2016-07-12,162,32,0.1975,,
2014-2015,BUTLER-ELEMENTARY SCHOOL AT BRAINARD,BUTLER,120502002,ELEMENTARY SCHOOL AT BRAINARD,ELEMENTARY                    ,PK-06,127,23,0.1811,,
2014-2015,BUTLER-ELEMENTARY SCHOOL AT DWIGHT,BUTLER,120502003,ELEMENTARY SCHOOL AT DWIGHT,ELEMENTARY                    ,K -06,43,17,0.3953,,
2014-2015,BUTLER-AQUINAS HIGH SCHOOL,BUTLER,120701001,AQUINAS HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,156,18,0.1154,,
2014-2015,BUTLER-ST MARY'S ELEMENTARY SCHOOL,BUTLER,120701002,ST MARY'S ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,227,38,0.1674,,
2014-2015,BUTLER-AQUINAS MIDDLE SCHOOL,BUTLER,120701003,AQUINAS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,144,31,0.2153,,
2014-2015,CASS-PLATTSMOUTH HIGH SCHOOL,CASS,130001001,PLATTSMOUTH HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,528,190,0.3598,,
2014-2015,CASS-PLATTSMOUTH MIDDLE SCHOOL,CASS,130001003,PLATTSMOUTH MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,540,227,0.4204,,
2014-2015,CASS-PLATTSMOUTH ELEMENTARY SCHOOL,CASS,130001009,PLATTSMOUTH ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,551,268,0.4864,,
2014-2015,CASS-PLATTSMOUTH EARLY CHILDHOOD,CASS,130001010,PLATTSMOUTH EARLY CHILDHOOD,PREK ONLY                     ,PK-PK,165,101,0.6121,,
2014-2015,CASS-WEEPING WATER HIGH SCHOOL,CASS,130022001,WEEPING WATER HIGH SCHOOL,SECONDARY                     ,2016-07-12,146,42,0.2877,,
2014-2015,CASS-WEEPING WATER ELEMENTARY SCHOOL,CASS,130022002,WEEPING WATER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,193,87,0.4508,,
2014-2015,CASS-LOUISVILLE HIGH SCHOOL,CASS,130032001,LOUISVILLE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,176,28,0.1591,,
2014-2015,CASS-LOUISVILLE ELEMENTARY SCHOOL,CASS,130032002,LOUISVILLE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,277,59,0.213,,
2014-2015,CASS-LOUISVILLE MIDDLE SCHOOL,CASS,130032003,LOUISVILLE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,131,29,0.2214,,
2014-2015,CASS-CONESTOGA JR/SR HIGH SCHOOL,CASS,130056001,CONESTOGA JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,286,68,0.2378,,
2014-2015,CASS-CONESTOGA ELEMENTARY SCHOOL,CASS,130056002,CONESTOGA ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,359,82,0.2284,,
2014-2015,CASS-ELMWOOD-MURDOCK JR/SR HIGH SCH,CASS,130097001,ELMWOOD-MURDOCK JR/SR HIGH SCH,SECONDARY                     ,2016-07-12,206,44,0.2136,,
2014-2015,CASS-ELMWOOD-MURDOCK ELEM SCHOOL,CASS,130097004,ELMWOOD-MURDOCK ELEM SCHOOL,ELEMENTARY                    ,PK-06,220,50,0.2273,,
2014-2015,CASS-ST JOHN THE BAPTIST ELEMENTARY,CASS,130701001,ST JOHN THE BAPTIST ELEMENTARY,ELEMENTARY                    ,PK-08,156,22,0.141,,
2014-2015,CEDAR-HARTINGTON NEWCASTLE HIGH SCHOOL,CEDAR,140008001,HARTINGTON NEWCASTLE HIGH SCHOOL,SECONDARY                     ,2016-07-12,155,61,0.3935,,
2014-2015,CEDAR-HARTINGTON-NEWCASTLE ELEM AT HARTINGTON,CEDAR,140008002,HARTINGTON-NEWCASTLE ELEM AT HARTINGTON,ELEMENTARY                    ,K -06,171,65,0.3801,,
2014-2015,CEDAR-RANDOLPH HIGH SCHOOL,CEDAR,140045001,RANDOLPH HIGH SCHOOL,SECONDARY                     ,2016-07-12,111,41,0.3694,,
2014-2015,CEDAR-RANDOLPH ELEMENTARY SCHOOL,CEDAR,140045002,RANDOLPH ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,137,52,0.3796,,
2014-2015,CEDAR-LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,CEDAR,140054001,LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,112,35,0.3125,,
2014-2015,CEDAR-LAUREL-CONCORD-COLERIDGE ELEMENTARY SCHOOL,CEDAR,140054002,LAUREL-CONCORD-COLERIDGE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,207,75,0.3623,,
2014-2015,CEDAR-LAUREL-CONCORD-COLERIDGE MIDDLE SCHOOL,CEDAR,140054003,LAUREL-CONCORD-COLERIDGE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,119,51,0.4286,,
2014-2015,CEDAR-WYNOT HIGH SCHOOL,CEDAR,140101001,WYNOT HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,54,18,0.3333,,
2014-2015,CEDAR-WYNOT ELEMENTARY SCHOOL,CEDAR,140101002,WYNOT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,69,36,0.5217,,
2014-2015,CEDAR-WYNOT MIDDLE SCHOOL,CEDAR,140101003,WYNOT MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,39,19,0.4872,,
2014-2015,CEDAR-HOLY TRINITY ELEMENTARY SCHOOL,CEDAR,140701001,HOLY TRINITY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,219,44,0.2009,,
2014-2015,CEDAR-CEDAR CATHOLIC HIGH SCHOOL,CEDAR,140702001,CEDAR CATHOLIC HIGH SCHOOL,SECONDARY                     ,2016-07-12,204,51,0.25,,
2014-2015,CEDAR-WEST CATHOLIC ELEMENTARY SCH,CEDAR,140703001,WEST CATHOLIC ELEMENTARY SCH,ELEMENTARY                    ,PK-06,16,,,MASKED DATA,
2014-2015,CEDAR-EAST CATHOLIC ELEMENTARY SCH,CEDAR,140704001,EAST CATHOLIC ELEMENTARY SCH,ELEMENTARY                    ,PK-06,36,11,0.3056,,
2014-2015,CHASE-CHASE COUNTY HIGH SCHOOL,CHASE,150010001,CHASE COUNTY HIGH SCHOOL,SECONDARY                     ,2016-07-12,270,82,0.3037,,
2014-2015,CHASE-CHASE COUNTY ELEMENTARY SCHOOL,CHASE,150010002,CHASE COUNTY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,356,123,0.3455,,
2014-2015,CHASE-WAUNETA-PALISADE HIGH SCHOOL,CHASE,150536001,WAUNETA-PALISADE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,53,28,0.5283,,
2014-2015,CHASE-PALISADE ATTENDANCE CENTER,CHASE,150536003,PALISADE ATTENDANCE CENTER,ELEMENTARY                    ,PK-04,106,66,0.6226,,
