SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
031299-CT-0810,T,DEANS UNOCAL 76,301 WEST MISSION AVE,BELLEVUE,NE,68005,7,9/23/98,301 WEST MISSION AVE,BELLEVUE,SARPY,GASOLINE & WASTE OIL,6642,DEAN'S UNOCAL 76
011894-CT-0118,3,DEAVER OIL,904 E 3RD,ALLIANCE,NE,69301,7,11/4/93,904 E 3RD,ALLIANCE,BOX BUTTE,WASTE OIL,5254,DEAVER CONOCO
03207-BHI-1500,9,DELS OIL COMPANY,PO BOX 643,LOUP CITY,NE,68853,13,3/16/87,"607 SO E ST,",BROKEN BOW,CUSTER,GASOLINE,6734,DELS OIL COMPANY
050499-CT-0800,T,DENNIS HERLEY,MAIN ST,CLEARWATER,NE,68726,7,4/10/99,MAIN & 2ND ST SW CRNR,CLEARWATER,ANTELOPE,GASOLINE,7930,DENNIS HERLEY
070501-GW-1242,9,"DENOYER, ALLEN",BOX 121,NORTH LOUP,NE,68859,6,6/7/01,"GARFIELD & RUGG, E OF INTRSCT",NORTH LOUP,VALLEY,"#2 DIESEL, GASOLINE",,ALLEN DENOYER TANK FARM
110695-KM-0900,T,DEPT OF ARMY,215 NORTH 17TH,OMAHA,NE,68102,6,4/13/95,BULK FUEL AFB,LINCOLN,LANCASTER,JET FUEL,,DEPT OF ARMY
110513-PH-1358,9,DETLEFSEN OIL,PO BOX 728,NORTH PLATTE,NE,69101,7,11/4/13,3202 DETCO CIRCLE,NORTH PLATTE,LINCOLN,"GASOLINE, DIESEL",905,DETELFSEN OIL
11069-KAM-1400,9,DETLEFSEN OIL COMPANY,I-80 & HWY 83,NORTH PLATTE,NE,69101,7,10/9/89,3220 S. JEFFERS ST.,NORTH PLATTE,LINCOLN,DIESEL (GASOLINE?),905,DETLEFSEN OIL COMPANY
07250-KAM-1500,3,DETTMER SERVICE,HWY 67 & MAIN,BROCK,NE,68320,7,2/1/90,HWY 67 & MAIN,BROCK,NEMAHA,GASOLINE,4359,DETTMER SERVICE STATION
121799-NM-1313,2,DEW DROP INN,BOX 235,VERDEL,NE,68760,7,12/17/99,"HWY 12 AND MAIN ST, NW CORNER",VERDEL,KNOX,GASOLINE,5830,DEW DROP INN
08238-BHI-1330,9,DICKMAN SERVICE,12285 S PLAINVIEW RD,MAXWELL,NE,69151,7,8/23/88,HWY 30,MAXWELL,LINCOLN,GASOLINE,1502,DICKMAN SERVICE
110402-GW-0923,T,DISSMEYER AMOCO,247 7TH ST,ADAMS,NE,68301,7,10/10/96,"247 7TH ST, NW 7TH & MAIN",ADAMS,GAGE,GASOLINE,5326,DISSMEYER AMOCO
092794-GW-1120,2,DIXON COUNTY FEEDLOT,RR1 BOX 156,ALLEN,NE,68710,7,9/8/94,W HWY 20,ALLEN,DIXON,GASOLINE,5497,DIXON COUNTY FEEDYARD CO
091691-NH-1630,2,DODD'S OIL CO.,PO BOX 373,CREIGHTON,NE,68729,7,9/16/91,S-W CORNER JOHNSON & HWY 20,ROYAL,ANTELOPE,DIESEL,2382,DODDS OIL COMPANY
02178-BHI-1600,9,DOEHLING OIL CO,BOX 515,SURPRISE,NE,68667,7,1/15/88,DOEHLING OIL COMPANY,SURPRISE,BUTLER,UNLEADED GASOLINE,5506,DOEHLING OIL CO
082798-GY-1430,2,DON'S FOREIGN MOTORS,4121 HARRISON,BELLEVUE,NE,68147,7,8/24/98,4121 HARRISON ST,BELLEVUE,SARPY,WASTE OIL,8172,VEE DUB FOREIGN MOTORS
101891-PH-0800,9,DON'S TEXACO,501 MAIN ST.,BRIDGEPORT,NE,69336,7,9/17/91,501 MAIN ST,BRIDGEPORT,MORRILL,GASOLINE,7809,DON'S TEXACO BRIDGEPORT
03290-KAM-0900,9,DONALD BORING OIL CO,308 RIDGE STREET,DAWSON,NE,68337,7,12/20/89,308 RIDGE ST,DAWSON,RICHARDSON,GASOLINE,5738,DONALD BORING OIL CO
080395-CT-1530,3,DONS SERVICE,434 N CHERRY,VALENTINE,NE,69201,7,6/12/95,403 N MAIN,VALENTINE,CHERRY,GASOLINE & WASTE OIL,2091,DONS SERVICE
073092-JB-0930,2,"DORAU, JUDY",15313 BENINGTON RD,BENNINGTON,OM,68007,7,7/29/92,15605 1ST STREET,BENNINGTON,DOUGLAS,GASOLINE,4931,B & J SERVICE
032896-QK-1515,T,DOT/FAA/NEBRASKA AFS,3776 N SKYPARK RD,GRAND ISLAND,NE,68801,7,3/28/96,EPPLEY AIR TRAFFIC CONTROL TWR,OMAHA,DOUGLAS,#2 DIESEL,620,EPPLEY AIR TRAF CTL TWR
040991-KM-1530,9,DOUBLE D SERVICE,HWY 183,TAYLOR,NE,68879,7,4/9/91,NE CORNER OF CHARLES & HWY 183,TAYLOR,LOUP,GASOLINE DIESEL,3682,DOUBLE D SERVICE
031398-DB-1300,9,DOWNING OIL COMPANY,101 NORFOLK AVE,NORFOLK,NE,68702,7,5/12/97,101 NORFOLK AVE,NORFOLK,MADISON,GASOLINE,6055,7-11 STORE #212
10249-DDB-1310,9,DOWNING OIL COMPANY,108 E NORTHWESTERN,NORFOLK,NE,68701,7,10/24/89,101 E OMAHA AVE,NORFOLK,MADISON,GASOLINE,6056,7-11 STORE #51218
070996-QK-1430,2,DOYLE OIL,809 EAST B ST,MC COOK,NE,69001,7,7/8/96,809 EAST B ST,MC COOK,RED WILLOW,GAS DIESEL & HEATING OIL,4314,DOYLE OIL CO
041499-TH-1446,9,DUANE CLOUGH,HWY 275,HOOPER,NE,,7,3/13/98,HWY 275,HOOPER,DODGE,UNKNOWN,5185,DUANE CLOUGH PROPERTY
072392-JB-0943,9,DUNDEE 66 SERVICE,4926 UNDERWOOD AVE,OMAHA,NE,68132,7,6/10/92,4926 UNDERWOOD AVE,OMAHA,DOUGLAS,GASOLINE,3797,DUNDEE SERVICE
070997-NM-1245,2,DURHAM BUILDING CO,8401 W DODGE RD,OMAHA,NE,68114,14,6/19/96,8401 WEST DODGE RD,OMAHA,DOUGLAS,HEATING OIL,11456,DURHAM BUILDING PLAZA
12269-DWT-1200,3,EAST END SERVICE,RR #2 BOX 68,PLAINVIEW,NE,68769,7,8/8/89,EAST HWY 20,PLAINVIEW,PIERCE,GAS,1705,EAST END SERVICE STATION
031391-JB-0838,9,EAST SIDE SERVICE,P.O. BOX 236,STAPLETON,NE,69163,7,8/30/90,504 3RD ST.,STAPLETON,LOGAN,GAS AND DIESEL,5690,EAST SIDE SERVICE
102398-QK-1015,3,EAST SIDE TEXACO,424 E 3RD ST,ALLIANCE,NE,69301,7,10/19/98,424 E 3RD ST,ALLIANCE,BOX BUTTE,"GASOLINE, DIESEL",4961,EASTSIDE TEXACO
072199-TH-1131,3,EBYS INC,E HWY 20,O'NEILL,NE,68763,7,4/21/99,E HWY 20,O'NEILL,HOLT,"GASOLINE, DIESEL",6043,"EBY'S, INC"
12139-DWT-1200,9,ED'S STANDARD,117 CLAY,TECUMSEH,NE,68450,7,12/5/89,106 SOUTH 4TH ST,TECUMSEH,JOHNSON,GAS,1820,ED'S STANDARD
012594-NH-1500,T,EDDYS 66 SERVICE,1624 G ST,GENEVA,NE,68361,7,12/22/93,SW OF 8TH AND G ST,GENEVA,FILLMORE,"GAS, DIESEL, AND WASTE OIL",5919,EDDYS 66 SERVICE
07139-BHI-1400,3,EDS CHAMPLIN SERVICE,BOW 312,GREELEY,NE,68842,7,7/13/89,E RAILWAY AND ONEIL AV,GREELEY,GREELEY,GASOLINE,3287,EDS CHAMPLIN SERVICE
013192-TH-0851,T,EHLERS TRUCK PLAZA,1210 HIGHLAND DR,SUPERIOR,NE,68978,7,12/13/91,HIGHWAY 14 NORTH,SUPERIOR,NUCKOLLS,GASOLINE DIESEL KEROSENE,7134,EHLERS TRUCK PLAZA
09289-DWT-1300,2,EITEMILLER OIL CO,PO BOX 1039,CHADRON,NE,69337,7,5/9/89,3RD & BORDEAUX,CHADRON,DAWES,GAS,935,EITEMILLER OIL CO
121891-DT-1010,9,EITEMILLER OIL CO,PO BOX 1039,CHADRON,NE,69337,13,12/9/91,937 W HWY 20,CHADRON,DAWES,GASOLINE,934,EITEMILLER OIL CO
062695-GW-0950,9,ELGIN LIQUOR,BOX 427,ELGIN,NE,68636,7,9/10/92,CEDAR & HWY 14 (SW CRNR),ELGIN,ANTELOPE,GASOLINE,4093,ELGIN LIQUOR
102292-EL-1430,9,ELK OIL CO,BOX 66,ELK CREEK,NE,68348,7,12/29/90,ELK & MAIN STS,ELK CREEK,JOHNSON,GASOLINE,2064,ELK OIL CO
102292-EL-1500,9,ELKHORN VALLEY COOP,PO BOX 466,HOOPER,NE,68031,7,2/13/91,301 E CEDAR (EAST NEAR RR),NICKERSON,DODGE,DIESEL,133,ELKHORN VALLEY COOP
10319-KAM-1100,9,ELKHORN VALLEY COOP,PO BOX 466,HOOPER,NE,68031,7,9/18/89,HWY 91 & 79 NW CORNER,SNYDER,DODGE,GAS(LEADED& UNL),5404,FARMERS COOP SNYDER
082996-GW-0835,T,ELLIOT AND ASSOCIATES,5316 S 132ND,OMAHA,NE,68137,7,8/28/96,5316 SOUTH 132ND ST,OMAHA,DOUGLAS,GASOLINE,1741,E & A CONSULTING GROUP
072597-NM-0800,2,"ELLIS TILTON, DECEASED",,,,,7,8/9/96,MAIN ST,MAGNET,CEDAR,GASOLINE,5284,DENNY'S REPAIR
100792-CT-1000,3,ELLISON GAS STATION,1024 P STREET,GENEVA,NE,68361,7,10/6/92,1246 G ST  HWY 81,GENEVA,FILLMORE,GASOLINE,3242,ELLISON GAS STATION
09269-KSA-1000,9,ELMERS OIL AND REPAIR,"1229N.HACKBERRY,#113",WAHOO,NE,68066,7,9/22/89,HWY 92 & WESTON EXIT,WESTON,SAUNDERS,GASOLINE AND DIESEL,3577,ELMERS OIL AND REPAIR
071693-TH-1059,9,ENGLES OIL CO,1004 14TH ST,AUBURN,NE,68305,7,9/1/91,1004 14TH ST,AUBURN,NEMAHA,DIESEL,3623,ENGLES OIL CO
111894-TH-1101,T,ENGLES OIL CO,1004 14TH STREET,AUBURN,NE,68305,7,10/1/91,1100 CENTRAL AVE,AUBURN,NEMAHA,GASOLINE,3624,ENGLES OIL CO
041996-CT-1100,2,ENRON PROPERTY & SERVICE,PO BOX 1188,HOUSTON,TX,77251,7,1/10/96,ENRON HANGER AT EPPLEY AIRPORT,OMAHA,DOUGLAS,WASTE OIL,51209,ENRON HANGAR
091492-NM-1315,9,ERCS,,,,,7,9/8/92,2221 23RD ST,COLUMBUS,PLATTE,GASOLINE & DIESEL,,AMERICAN CHARTER
090301-JF-1010,9,EVERETT LEARNED,"306 C ST, APT E19",SHELTON,NE,68876,7,8/27/01,"102 ELM ST, NW CORNER HWY 30 &",ALDA,HALL,GASOLINE,11951,LEARNED CUTRATE
032492-RF-0800,2,EVON PROPERTIES,,,,,7,2/5/92,1209 S FORT CROOK RD,BELLEVUE,SARPY,FUEL OIL,3675,CUSTOM AUTO SALES
062691-NM-1424,T,F J MERWALD & SONS,5032 S 24TH ST,OMAHA,NE,68107,7,6/5/91,5032 S 24TH ST,OMAHA,DOUGLAS,GASOLINE,8272,F J MERWALD & SONS
041194-GW-1230,T,FAA,PO BOX 19123,OMAHA,NE,68119,7,7/15/92,EPPLEY AIRFIELD,OMAHA,DOUGLAS,DIESEL,619,EPPLEY EMER GEN BLDG LINE
041194-GW-1200,T,FAA ALSF-2,3776 N SKY PARK RD,GRAND ISLAND,NE,68801,7,10/21/93,EPPLEY AIRFEILD,OMAHA,DOUGLAS,DIESEL,619,EMERGENCY GENERATOR BLDG
122001-QK-1245,2,FAIRMONT CREAMERY,,,,,14,12/20/01,MAIN ST & RAILROAD TRACKS,CRETE,SALINE,#6 HEATING OIL,11954,FAIRMONT CREAMERY COMPANY
033093-CT-1050,T,FALLS CITY SCHOOLS,1415 MORTON,FALLS CITY,NE,68355,7,3/22/93,E 14TH STREET,FALLS CITY,RICHARDSON,GASOLINE,5812,FALLS CITY SCH. BUS BARN
120997-QK-1615,T,FANTASYS FOOD & FUEL,10302 ROCK BROOK RD,OMAHA,NE,68124,7,12/9/97,3402 N 120TH,OMAHA,DOUGLAS,GASOLINE & DIESEL,8232,FANTASYS FOOD-N-FUEL
122313-TH-1310,T,FANTASYS INC,8930 S 137TH CIRCLE,OMAHA,NE,68138,7,11/14/13,10110 S 15TH ST,BELLEVUE,SARPY,"GASOLINE, DIESEL",11406,FANTASY'S
03210-KSA-1100,2,FARMERS COOP,1515 1ST ST,FRIEND,NE,68359,7,9/13/89,1515 1ST STREET,FRIEND,SALINE,GASOLINE,6561,FARMERS CO-OP OIL
052997-PH-1510,9,FARMERS COOP ASSN,305 E 4TH AVE,RED CLOUD,NE,68970,7,9/26/96,305 E 4TH AVE,RED CLOUD,WEBSTER,GASOLINE & DIESEL,2935,FARMERS COOP ASSN
061592-NM-1513,T,FARMERS COOP ASSN,1504 PLATTE AVE,YORK,NE,68467,7,3/26/92,1504 PLATTE AVE,YORK,YORK,"GASOLINE, DIESEL",3668,FARMERS COOP
050897-GW-0850,T,FARMERS COOP ASSOCIATION,302 W RAILROAD,OGALLALA,NE,69153,7,5/3/97,"SOUTH D"" ST""",OGALLALA,KEITH,GASOLINE AND DIESEL,6610,FARMERS COOP BULK PLANT
120798-GW-1440,9,FARMERS COOP GRAIN SUPPLY,102 WEST G STREET,TRENTON,NE,69044,7,3/2/89,102 WEST G STREET,TRENTON,HITCHCOCK,DIESEL FUEL,4240,FARMERS COOP GRAIN & SUPP
042098-GW-1415,9,FARMERS COOP OIL ASSN,922 J ST,AUBURN,NE,68305,7,4/9/98,2ND & MAIN NW CRNR,VERDON,RICHARDSON,GASOLINE & DIESEL,2691,FARMERS COOP OIL ASSN
10249-BTB-1200,2,FARMERS COOP OIL ASSN,922 J STREET,AUBURN,NE,68305,6,1/19/89,HWY 75 BULK FUEL STORAGE FACIL,AUBURN,NEMAHA,,,FARMERS COOP
012793-QK-1100,9,FARMERS COOP STATION,149 MAIN ST N,PILGER,NE,68768,7,3/13/92,149 MAIN ST N,PILGER,STANTON,,3285,FARMERS COOP STATION
121694-TH-1525,2,FARMERS COOPERATIVE,PO BOX 263,DORCHESTER,NE,68343,6,9/14/94,200 S BROAD,JANSEN,JEFFERSON,PETROLEUM,,FARMERS COOPERATIVE
02150-KSA-1300,T,FARMERS ELEV. CO.,"531 MAIN ST.,BOX 77",ADAMS,NE,68310,13,12/22/89,200 7TH STREET,ADAMS,GAGE,GASOLINE & DIESEL,1823,FARMERS ELEVATOR CO
032494-GW-0935,T,FARMERS ELEVATOR CO,BOX 526,CHAPPELL,NE,69129,7,12/5/91,2ND & MATLOCK,CHAPPELL,DEUEL,DIESEL,3145,FARMERS ELEVATOR CO
070314-NM-1000,T,FARMERS RANCHERS COOP,224 S MAIN ST,AINSWORTH,NE,69210,7,5/19/14,202 SW 1ST,MULLEN,HOOKER,DIESEL,7790,FARMERS RANCHERS STATION
071493-NM-1410,2,FARMERS STATE BANK,PO BOX 156,WALLACE,NE,69169,7,11/1/90,MAIN ST & HWY 23,WALLACE,LINCOLN,GASOLINE AND DIESEL,2394,OGIER PETROLEUM & TRANS
030493-GH-0900,9,FARMERS UNION COOP,PO BOX 237,ST PAUL,NE,68873,7,7/15/91,SE CRNR OF MILL & ELM STS,DANNEBROG,HOWARD,GASOLINE DIESEL KEROSENE,3945,FARMERS UNION COOP
071791-TH-0926,9,FARMERS UNION COOP ASSN,RR1 BOX 71,NORA,NE,68961,7,7/17/91,1 MI N OF HWY 136,NORA,NUCKOLLS,GASOLINE,6555,FARMERS UNION COOP ASSN
070395-PH-1520,9,FARMERS UNION COOP CO,319 4TH ST,PLATTE CENTER,NE,68653,7,12/21/92,BOX 248 MAIN ST.,PLATTE CENTER,PLATTE,GASOLINE & ETHENOL,5137,FARM & HOME COOP
022792-NM-0941,9,FARMERS UNION COOP OIL,800 TENTH ST,STANTON,NE,68779,7,2/10/92,800 TENTH ST,STANTON,STANTON,"WASTE OIL, GAS, & KEROSENE",7069,FARMERS UNION COOP OIL
100593-NM-1300,2,FARMERS UNION COOP OIL,PO BOX 359,HOWELLS,NE,68641,7,9/27/93,232 N 3RD ST,HOWELLS,COLFAX,GASOLINE & DIESEL,2199,FARMERS UNION COOP OIL
031199-NH-0837,T,FARMERS UNION OIL CO,302 N MINDEN,MINDEN,NE,68959,7,3/10/99,302 N MINDEN,MINDEN,KEARNEY,GASOLINE,2769,FARMERS COOP
100295-DB-0845,2,FARMLAND INDUSTRIES,PO BOX 7305 DEPT 141,KANSAS CITY,MO,64116,6,7/1/95,"3RD & MAIN, SE CORNER, HWY 73/",HERMAN,WASHINGTON,GASOLINE & OTHER PETROLEUM,2751,DOUBLE CIRCLE FARM SUPPLY
012898-GW-0920,T,FARMLAND SERVICE COOP,108 8TH STREET,GOTHENBURG,NE,69138,7,10/29/97,GRAND AND MORSE SW CRNR,CALLAWAY,CUSTER,"KEROSENE, GASOLINE, DIESEL",5178,FARMLAND SERVICE COOP
122298-CT-1305,T,FAST EDDIES,PO BOX 5316,GRAND ISLAND,NE,68802,7,10/13/98,417 N SYCAMORE,GRAND ISLAND,HALL,GASOLINE,9405,FAST EDDIES
051596-GW-1045,9,FAST FREDDIE'S,"CENTER & HWY 30, NW",GIBBON,NE,68840,7,5/15/96,"CENTER & HWY 30, NW CRNR",GIBBON,KEARNEY,UNK PETROLEUM,11483,"ORPHAN UST, RICHARD RAY"
121399-NM-0830,9,FEAGINS SERVICE,,,NE,,7,12/11/99,SW CORNER OF MAIN & DARLEY,ONG,CLAY,"GASOLINE, DIESEL",3669,FORMER DAN FEAGINS
082599-GW-1310,T,FFP OPERATING PARTNERS LP,2801 GLENDA AVE,FT WORTH,TX,76117,7,7/30/99,505 G ST,FAIRBURY,JEFFERSON,GASOLINE,4798,D`S DELI
091692-CT-0800,2,"FINK, PETER",4924 POPPLETON,OMAHA,NE,68106,7,8/19/92,8401 BLONDO,OMAHA,DOUGLAS,GASOLINE AND WASTE OIL,8446,DX STATION
071693-NM-0720,2,FISCA OIL CO,8242 MAPLE ST,OMAHA,NE,68134,7,10/5/90,8242 MAPLE ST,OMAHA,DOUGLAS,GASOLINE,4902,FISCA OIL COMPANY INC
061714-KM-0000,T,"FISHER, STEVE",921 N STREET,BEAVER CITY,NE,68926,6,6/15/14,5/8 MI N OF R 711 ON CR 427,BEAVER CITY,FURNAS,DIESEL FUEL,,STEVE FISHER PROPERTY
103098-GY-0914,T,FIVE POINT DISCOUNT GAS,1901 N BROADWELL,GRAND ISLAND,NE,68803,7,10/29/98,1901 N BROADWELL,GRAND ISLAND,HALL,GASOLINE AND WASTE OIL,5983,FIVE POINT DISCOUNT
071294-CT-0921,3,FIVE-B CORPORATION,3777 SO MONITOR RD,GRAND ISLAND,NE,68803,7,7/6/94,RR2 BOX 67,GRAND ISLAND,HALL,GASOLINE,5641,FIVE-B CORPORATION
021315-SM-0955,1,FLINT HILLS RESOURCES,1214 ROAD G,FAIRMONT,NE,68354,6,2/13/15,1214 ROAD G,FAIRMONT,FILLMORE,ETHANOL (GRAIN MASH),,FLINT HILLS RESOURCES
09190-EPP-1200,9,FOOTE OIL COMPANY,P.O. BOX 306,CHESTER,NE,68327,13,7/4/90,102 EAST SECOND STREET,HASTINGS,ADAMS,GASOLINE ?,2995,FOOTE OIL COMPANY
102198-TH-0800,2,FORMER 7-11 STORE #107,711 N 108TH CT,OMAHA,NE,68154,7,10/20/98,747 N BROAD ST,FREMONT,DODGE,GASOLINE,460,7-ELEVEN #107
101910-PH-1502,9,FORMER APCO,400 N MONROE,LEXINGTON,NE,68850,7,10/19/10,731 E PACIFIC,LEXINGTON,DAWSON,GASOLINE,12482,APCO
071296-JB-1000,2,FORMER BEE LINE TRANS,,,,,7,7/1/96,8006 J ST,OMAHA,DOUGLAS,"DIESEL, POSSIBLY WASTE OIL",3808,BEE LINE MOTOR FREIGHT
090892-NM-1600,9,FORMER BOICE CRANE,,,,,7,11/27/90,120 8TH ST,GOTHENBURG,DAWSON,GASOLINE,,BOICE CRANE - 120 W 8TH
050505-MP-1000,9,FORMER CHEVRON STATION,,,,,7,5/5/05,710 WEST B ST,MC COOK,RED WILLOW,"GASOLINE, DIESEL",,CHEVRON USA INC
010202-JB-0930,2,FORMER CONTECH PROPERTY,,,,,7,12/14/01,7TH & MAPLE STREETS,WAHOO,SAUNDERS,GASOLINE,,CONTECH CONSTRUCTION PROD
03280-KAM-1300,9,FORMER FARMERS COOP,,,,,7,11/17/89,206 SOUTH PARK,CEDAR BLUFFS,SAUNDERS,"DIESEL, GAS, WHITE GAS",5768,FARMERS COOP
072197-NM-1000,2,FORMER FREUHAUF TRAILERS,,,,,7,6/9/97,4550 S 96TH ST,OMAHA,DOUGLAS,WASTE OIL,6435,OMAHA MARINE CENTER
072596-NM-1530,2,FORMER FULLERTON COOP,,,,,7,7/18/96,NE CORNER OF 3RD AND 'C' ST,BELGRADE,NANCE,UNKNOWN,,FULLERTON COOP STATION
051895-TH-1313,9,FORMER JOE'S SERVICE,2506 MAHOOD DR,COLUMBUS,NE,68601,7,4/28/95,2304-11TH ST,COLUMBUS,PLATTE,GASOLINE & WASTE OIL,4432,JOE'S SERVICE
011696-GW-0845,2,FORMER KEN & AL`S SVC,RR 1,LAWRENCE,NE,68957,7,1/10/96,SALINE & SE RAILWAY NE CRNR,BLUE HILL,WEBSTER,WASTE OIL,4554,BLUE HILL TIRE WASTE OIL
051304-TD-0815,9,FORMER MILDER OIL,,,,,6,5/13/04,1946 S 26TH ST,OMAHA,DOUGLAS,USED OIL DIESEL ?GAS,,FORMER MILDER OIL
022792-CT-0935,T,FORMER POZEHL SERVICE,US 34 & D ST,UTICA,NE,68456,7,1/6/92,SW CRNR D ST & HWY 34,UTICA,SEWARD,GASOLINE,7427,GENERAL DELIVERY
111308-NM-1000,9,FORMER SCHROETLIN STATION,922 CRESTIRDGE CIR D,SUTTON,NE,68979,7,7/2/08,HWY 6 & SAUNDERS AVE,SUTTON,CLAY,"GASOLINE, DIESEL, KEROSENE",,SCHROETLIN TANK
053012-JK-1200,9,FORMER TEXACO,,,,,7,5/30/12,607 SOUTH E STREET,BROKEN BOW,CUSTER,GASOLINE,,FORMER TEXACO STATION
012407-DB-1400,2,FORMER WILSON PACKING,6006 S 27TH,OMAHA,NE,68107,6,10/3/01,6006 S 27TH,OMAHA,DOUGLAS,"PETROLEUM, ACETONE, STYRENE",,WILSON PACKING PLANT
043094-NH-1500,9,FRANK'S SERVICE,"115 S. MAIN, BOX 438",ELKHORN,NE,68022,6,4/30/94,"E OR RR TRK XING, 115 S. MAIN",ELKHORN,DOUGLAS,DIESEL AND GASOLINE,1472,FRANK'S SERVICE
070199-GW-1650,9,FRANK'S SERVICE,PO BOX 438,ELKHORN,NE,68022,7,7/1/99,"115 S MAIN, PARK & MAIN NE CRN",ELKHORN,DOUGLAS,"GASOLINE, DIESEL",1472,FRANK'S SERVICE
031097-GW-0830,2,FREDERIC SERVICE,RT 1 BOX 289,RULO,NE,68431,7,3/7/97,6TH & STUTZMAN NW CRNR,RULO,RICHARDSON,GASOLINE,5826,FREDERICK SERVICE
AP1663,9,FREEMAN SERVICE,MAIN ST,SARGENT,NE,68874,7,12/21/98,MAIN ST,SARGENT,CUSTER,GASOLINE,1663,FREEMANS SERVICE
110504-JF-0801,9,FREMONT & ELKHORN VALLEY,1835 N SOMERS AVE,FREMONT,NE,68025,15,11/5/04,NW OF ELM STR & HWY 275,HOOPER,DODGE,WASTE OIL & OTHER PETROLEUM,7ONE,HOOPER SHED - F & EV RR
101597-NM-1310,2,FRONTIER COOPERATIVE CO,PO BOX 37,BRAINARD,NE,68626,7,8/13/96,3/4 MILE S OF HWY 92& 77 JUNCT,MEAD,SAUNDERS,DIESEL FUEL,11462,FRONTIER COOP CO
041906-TH-1135,T,GAS 'N SHOP INC,701 MARINA BAY PL,LINCOLN,NE,68528,7,4/17/06,4335 N 70TH ST,LINCOLN,LANCASTER,GASOLINE,467,CASEY'S GENERAL STR 2744
073197-CT-1155,T,GAS 'N SHOP INC,PO BOX 81463,LINCOLN,NE,68501,7,7/29/97,12TH & CHESTNUT,WAHOO,SAUNDERS,GASOLINE,1034,"GAS & SHOP, INC."
10029-DWT-1330,9,GAS STOP,PO BOX 2701,RAPID CITY,SD,57709,7,10/2/89,GAS STOP 1901 E 4TH,NORTH PLATTE,LINCOLN,GAS,4120,GAS STOP
122993-ML-0930,9,GEORGE BROTHERS PROPANE,HWY 6 & SAUNDERS AVE,SUTTON,NE,68979,6,12/29/93,HWY 6 & SAUNDERS,SUTTON,CLAY,GASOLINE,,GEORGE BROTHERS PROPANE
081898-GW-1025,9,GEORGES 66 SERVICE,PO BOX 492,SUTTON,NE,68979,7,8/17/98,106 E HWY 6,SUTTON,CLAY,"GASOLINE, DIESEL, WASTE OIL",7252,GEORGE'S 66 SERVICE
10260-MAL-2315,9,GIDEONS SERVICE,BOX 87,WOOD RIVER,NE,68883,6,10/26/90,"8TH & DODD, SW CRNR",WOOD RIVER,HALL,DIESEL FUEL #2,,GIDEONS SERVICE INC
122198-CT-1550,3,GIDEONS SERVICE,PO BOX 87,WOOD RIVER,NE,68883,7,11/16/98,HWY 30 & EAST ST,WOOD RIVER,HALL,GAS & DIESEL,2331,GIDEON'S SERVICE INC
04300-MAL-1300,2,GINN OIL CO,145 N ELMWOOD RD,OMAHA,NE,68132,7,4/5/90,5629 N 72 ST,OMAHA,DOUGLAS,GASOLINE,10684,GINN OIL TANK SITE
061091-NH-1200,2,GINN OIL CO,PO BOX 31039,OMAHA,NE,68131,7,4/25/91,4709 HAMILTON,OMAHA,DOUGLAS,GASOLINE,4418,GOODIES MINI MART
081914-SM-1205,1,GIT N SPLIT,PO BOX 81463,LINCOLN,NE,68501,13,8/18/14,1145 ILLINOIS ST,SIDNEY,CHEYENNE,GASOLINE,6623,GIT N SPLIT
052097-CT-1400,T,GLISSMAN OIL COMPANY,4TH & WILLIS,PENDER,NE,68047,7,5/5/97,4TH & WILLIS,PENDER,THURSTON,"GASOLINE, DIESEL",2742,GLISSMAN OIL COMPANY
022792-CT-1422,3,"GNAT, RON",RR 2 BOX 3,PIERCE,NE,68767,7,8/29/91,JCT. HWY 81 AND 98,PIERCE,PIERCE,GASOLINE,7136,WEE TOWN SERVICE
040914-TH-1315,T,GOKIE CATTLE CO,6835 N 27TH,LINCOLN,NE,68521,7,10/8/13,6835 N 27TH ST,LINCOLN,LANCASTER,GASOLINE,1961,FAST MART
040695-JF-1330,2,GONE FISHING,8001 SW 56TH ST,LINCOLN,NE,68339,7,1/19/94,8401 WEST 'O' ST,LINCOLN,LANCASTER,GASOLINE,5659,GONE FISHING
12228-ZEH-1020,2,GOODROWS 66,723 WEBSTER ST,HASTINGS,NE,68901,7,12/22/88,702 WEST B ST,HASTINGS,ADAMS,GASOLINE,5829,GOODROWS 66
080114-NH-1115,2,GOTHENBURG PIT STOP INC,PO BOX 369,GOTHENBURG,NE,69138,7,6/10/14,416 PLATTE RIVER RD,GOTHENBURG,DAWSON,PETROLEUM,1777,PLAZA SHELL
080114-NH-1130,3,GOTHENBURG PIT STOP INC,PO BOX 369,GOTHENBURG,NE,69138,7,6/9/14,"I-80 PIT STOP, 310 LAKE AVE",GOTHENBURG,DAWSON,PETROLEUM (GAS/DIESEL),1204,I-8O PIT STOP
061199-CT-1335,9,GRACEY OIL,9TH & BURLINGTON,BROKEN BOW,NE,68822,7,5/10/99,9TH & BURLINGTON RR,BROKEN BOW,CUSTER,"GASOLINE, DIESEL",2909,GRACEY OIL
